Atom Type,r_0,r_f,Times Moved,dE
Fe,[10.06410222 18.6765031  12.92928186],[18.64026743 10.0374349  10.05387693],1,0.005358542130124988
Cr,[10.04403138 15.79336768 12.91103104],[18.65187519 18.61599668 12.92760174],1,0.005358542130124988
Fe,[ 2.85860185 14.35291743 20.08608025],[1.14910829e+01 5.73213120e+00 4.88159445e-03],2,-0.04447006528016573
Cr,[ 5.70376268 14.34427413 20.06988504],[ 2.83188867  0.03313035 17.22631535],2,-0.04447006528016573
Fe,[17.21778388 14.33939207  8.61006534],[ 8.61978296  5.7460557  17.19496096],3,0.10030346482017194
Cr,[18.65104085 15.7820724   7.18980125],[ 2.83108542 17.18617739  8.60851025],3,0.10030346482017194
Fe,[ 1.39902709  1.42134528 10.05500885],[17.23189836  8.60613019 20.07725952],4,-0.019311441920308425
Cr,[2.00734555e+01 5.97955465e-03 8.58039366e+00],[ 8.62037876 17.24357073  8.61284777],4,-0.019311441920308425
Cr,[14.33472495  8.642445    8.66008038],[ 8.64133986 20.06644436  2.85349259],5,0.039076240220310865
Fe,[15.78587988  7.18507381 10.05982234],[2.00838871e+01 6.95098890e-04 2.86925996e+00],5,0.039076240220310865
Fe,[10.05436004  4.30911434  4.29536438],[2.85419463 8.60370713 5.7238337 ],6,0.03019998052968731
Cr,[11.45494124  5.72143527  2.82861594],[18.65300122 12.93100476 12.94261169],6,0.03019998052968731
Fe,[4.30713027 7.1863737  1.42497249],[ 8.6131231  14.34949207  2.87859885],7,-0.09667794806000529
Cr,[4.30420621 7.17491927 4.27816391],[ 4.32577754 15.79048162 15.79008614],7,-0.09667794806000529
Cr,[15.79143676  1.45754091  1.43282258],[18.67811569 15.79954851 18.64110731],8,0.006305202030034707
Fe,[18.65524275  1.43872196  1.41753236],[ 2.86946643 17.21063286 17.21737749],8,0.006305202030034707
Cr,[18.65187519 18.61599668 12.92760174],[12.92293423  4.34096047 15.74790478],9,-0.04633253828978923
Fe,[18.64481998 15.79216457 12.93160438],[ 1.40989958 15.77723659 12.90866265],9,-0.04633253828978923
Fe,[20.07205024  2.88247462 11.48711796],[18.65635738 18.65643305  4.31100476],10,-0.16757085872995958
Cr,[ 2.83583159  2.87868126 11.48598503],[10.05931617 10.06624799  7.21478849],10,-0.16757085872995958
Fe,[ 5.73369408 17.21418088 11.48724609],[15.78445572  4.29079746  4.28535088],11,-0.09331980636034132
Cr,[ 5.73929046 14.38566368 11.48270533],[20.05214334  5.71352569  2.82734626],11,-0.09331980636034132
Fe,[18.65068862  1.44369822  7.16978511],[10.04380985 10.02870152 12.90770587],12,-0.00854936559971975
Cr,[1.40689884 1.42795697 7.16925543],[10.03471671 18.67812412  1.43805128],12,-0.00854936559971975
Fe,[7.17309611 7.18626787 1.44720289],[ 4.2946706   7.16597542 10.0618154 ],13,0.0153879184199468
Cr,[4.30713027 7.1863737  1.42497249],[ 4.32577754 15.79048162 15.79008614],13,0.0153879184199468
Fe,[10.04276019  7.17460085 18.65179338],[12.92561625 12.91484523  7.17972078],14,-0.089471012499871
Cr,[10.08208693  7.16550829 15.77687944],[0.01141966 2.85565199 5.73422939],14,-0.089471012499871
Fe,[ 8.61392916  8.60454077 14.37519768],[12.92701571  4.31099395 12.92647378],15,0.03193415881969486
Cr,[ 8.62134037  8.57541457 11.46583798],[18.61211588  4.26563601  1.40093614],15,0.03193415881969486
Fe,[ 2.85760338 11.48172083  5.71020156],[ 8.60230731 11.47312859 11.48034892],16,0.003617009830122697
Cr,[ 1.41269389 12.94186985  4.30798041],[7.20268918 4.29623802 4.28181165],16,0.003617009830122697
Fe,[ 1.4272752   4.30177623 12.91224775],[12.92903422  7.16502634  1.44223191],17,-0.031198376109841774
Cr,[ 4.31148574  4.28362704 12.85700056],[11.47969171  5.73445715 14.38008718],17,-0.031198376109841774
Fe,[ 4.28669816 15.77628162 10.04407253],[15.79856618 18.67438476 18.64584197],18,0.08971499182962361
Cr,[ 2.83108542 17.18617739  8.60851025],[ 1.43430937  7.16339512 18.6483666 ],18,0.08971499182962361
Fe,[10.05985877  1.44309838  7.18247526],[ 4.28499493 10.03307388 18.67573674],19,3.4030604183499236e-06
Fe,[14.36018947  2.86584049 11.48695775],[5.73930364 2.87002223 8.62179171],20,3.4030604183499236e-06
Fe,[2.85585696e+00 1.72146807e+01 3.89486433e-03],[ 4.28326433 18.65138575 12.92428251],21,-0.05999528717029534
Cr,[ 2.82695069 17.19991559  2.87471606],[17.23512617  5.74041816 14.35640769],19,-0.05999528717029534
Fe,[ 1.43198936 12.92430205  7.16055087],[12.93010349 12.91289273  1.4364528 ],22,0.04566139051985374
Cr,[ 2.85760338 11.48172083  5.71020156],[7.20268918 4.29623802 4.28181165],20,0.04566139051985374
Cr,[5.76756787e+00 8.90742608e-03 1.72059496e+01],[ 8.63294722 20.08500084 20.07542343],21,-0.020080576719919918
Fe,[5.73784975e+00 4.44869432e-03 2.00868011e+01],[1.72266242e+01 1.91286747e-02 2.00841872e+01],23,-0.020080576719919918
Fe,[1.72270536e+01 1.13964630e-02 1.72046281e+01],[10.04747717 15.79474115 18.64166717],24,0.030910999060324684
Cr,[5.52341269e-03 3.20454459e-02 1.72005515e+01],[12.92688881  1.4193958  15.74186732],22,0.030910999060324684
Cr,[20.04673274 14.33992508 11.47786164],[14.321123    8.61959152  5.7423082 ],23,0.1103296851297273
Fe,[20.07147302 17.21307199 11.47809509],[11.48897686 14.34621532  5.74437153],25,0.1103296851297273
Fe,[1.06731023e-03 8.61165196e+00 5.73529712e+00],[1.72210657e+01 9.87130109e-03 2.87194361e+00],26,-0.017695425990041258
Cr,[ 1.42589745 10.06813018  7.16527118],[14.34454533 11.48539091  5.721314  ],24,-0.017695425990041258
Fe,[ 2.85664874  2.86823111 17.22612651],[10.04662401 15.77726443 10.02788499],27,0.01087282750995655
Cr,[ 2.83188867  0.03313035 17.22631535],[ 2.85860185 14.35291743 20.08608025],25,0.01087282750995655
Cr,[ 8.60197693 14.34024725  8.62699546],[18.67473165 12.94414638 10.03361084],26,-0.16245890399977725
Fe,[ 7.19337789 12.91361868  7.16533239],[17.21538321 11.48577286  8.60823261],28,-0.16245890399977725
Fe,[15.80369375 15.79143326 10.0591896 ],[ 7.16745212 10.02963285  4.29867974],29,0.12538437359989985
Cr,[15.83890267 15.79397217 12.92856707],[8.63145102 5.75083151 0.022079  ],27,0.12538437359989985
Cr,[1.72270536e+01 1.13964630e-02 1.72046281e+01],[12.92688881  1.4193958  15.74186732],28,0.05557292808998682
Fe,[15.78872464  1.44650186 15.77571123],[ 7.17487184  7.17350288 18.65907013],30,0.05557292808998682
Cr,[10.04864105 10.07240019 15.79491975],[17.17856375  2.86271747 20.07301755],29,0.0011874600099872623
Fe,[10.04380985 10.02870152 12.90770587],[1.40689884 1.42795697 7.16925543],31,0.0011874600099872623
Cr,[ 8.62196266 20.06020692 14.40152402],[ 2.85057398  8.56290422 20.06520414],30,0.020580998580044252
Fe,[10.05842157  1.43705737 12.94532656],[15.80829464 12.90897828 18.63674441],32,0.020580998580044252
Fe,[8.63371344 8.60800557 5.75737511],[17.24754212 17.22735485 20.08227219],33,0.04599865368982137
Cr,[8.61606757 5.74034055 5.73985873],[15.80397633 15.79883469  4.33049482],31,0.04599865368982137
Fe,[18.64392019 10.04125794 12.93027801],[ 8.61065275 17.2228102  14.36183213],34,0.21391744423999626
Cr,[17.18346598  8.61828832 11.51501088],[15.79460639  7.17393416 12.96006744],32,0.21391744423999626
Fe,[14.33472495  8.642445    8.66008038],[2.00838871e+01 6.95098890e-04 2.86925996e+00],35,-0.09374265179985741
Cr,[15.79402828 10.0149257  10.0412502 ],[8.62304515e+00 5.42670544e-03 5.76187663e+00],33,-0.09374265179985741
Cr,[10.08014755  7.19512052 10.04824205],[ 4.30714919 15.74156214 12.88745982],34,0.05211671816005037
Fe,[11.47907069  5.74366424 11.49593449],[7.19488212 1.44337665 1.44696665],36,0.05211671816005037
Fe,[8.62164048 5.75544258 8.64224465],[12.91789812 15.79552493  1.43652268],37,-0.00022703213016939117
Cr,[11.43658664  5.75278764  8.64635556],[5.57920160e-03 5.73816079e+00 5.73902083e+00],35,-0.00022703213016939117
Cr,[ 2.8711529   8.61096069 14.34676588],[7.17309611 7.18626787 1.44720289],36,0.018071031080125977
Fe,[ 1.44003054  7.17891355 15.78378256],[14.35801807  2.88051049 17.21356109],38,0.018071031080125977
Fe,[10.04783576 15.78908093 15.7890202 ],[ 4.2905246  12.91982954  1.42388252],39,-0.07184173586983889
Cr,[10.06096809 18.66041587 15.76895856],[ 1.42932945  1.43165144 12.88803809],37,-0.07184173586983889
Fe,[ 2.86195354 11.49769485  2.87438916],[10.04253437 12.90914004 12.90533877],40,-0.05462003970023943
Cr,[2.87265990e+00 1.15072660e+01 6.88005192e-03],[12.96461288 12.94126369 18.63520301],38,-0.05462003970023943
Cr,[ 4.32577754 15.79048162 15.79008614],[8.64052425 2.90821174 2.87060243],39,-0.03743189764963972
Fe,[ 5.71226307 14.34572867 17.23019572],[17.22239637  5.74135031  8.62599477],41,-0.03743189764963972
Fe,[17.24964841 14.34600289 20.07381933],[20.08059013  8.60827031 17.20964977],42,0.10868705135999335
Cr,[18.69399183 12.89192389 18.61372844],[ 8.57538031 11.45194487 17.18826752],40,0.10868705135999335
Fe,[14.37139971 11.46798101 14.35448142],[7.18398553 4.31172178 7.17775689],43,0.08972209005969489
