Atom Type,r_0,r_f,Times Moved,dE
Fe,[17.21860777 11.46124202  5.7581313 ],[ 5.72251489 17.23968482 14.34180153],1,0.22866507899016142
Cr,[17.16701353  8.56433806  5.74829373],[ 7.1398676   4.30995906 12.95091406],1,0.22866507899016142
Fe,[ 7.15504    10.06118079 15.7810438 ],[ 4.3122167  10.03525237  4.31358358],2,-0.022755824249998113
Cr,[ 7.14319476  7.18591275 15.77914908],[ 1.49766551 10.05347306 12.86282221],2,-0.022755824249998113
Fe,[11.48324911  0.02211317  5.72817237],[17.25911628  8.6209651   0.01803736],3,-0.07932192561020202
Cr,[8.62759004 0.02107661 5.71116283],[15.85939869 12.9477679  10.04593535],3,-0.07932192561020202
Fe,[ 1.49986592  7.13725383 15.8161673 ],[17.23473468  2.87184812 20.08096498],4,-0.00910714187011763
Cr,[ 4.29656438  7.16295239 15.79196454],[14.31882898 14.37733482  2.8936351 ],4,-0.00910714187011763
Cr,[2.00747410e+01 2.85199448e+00 6.25196529e-03],[11.47936934  2.86045379 11.45444765],5,-0.07305063983994842
Fe,[0.00535924 0.01139926 0.01941775],[ 8.57300661  5.72345192 11.47821843],5,-0.07305063983994842
Fe,[15.77099239 12.91023491  1.45081887],[ 7.15906796  7.16219859 18.65880325],6,-0.025232736819816637
Cr,[14.29554614 14.3268031  20.07935247],[ 0.07807456  0.02925243 17.27367996],6,-0.025232736819816637
Fe,[17.22725461 17.21189253  2.85957518],[10.0251269  10.03285808  1.4422219 ],7,-0.03947440178035322
Cr,[17.26155159 20.08623162  2.83393581],[12.93651712 15.80028328 18.69463556],7,-0.03947440178035322
B,[11.46054149 10.00410459  9.98923975],[11.49099223 12.91763202  8.56928295],1,-0.2285003780198167
B,[15.79184056 11.4684949  20.06937104],[18.6541441   8.62981865 20.03072628],2,0.08865641033025895
Fe,[18.6686264  10.04965934 18.64285266],[ 5.73203392 17.23534813  2.88149438],8,0.1778742057999807
