
Species,SRO,SRO+STD,SRO-STD
B-Cr,0.31918602903603954,0.31918602903603954,0.31918602903603954
B-Fe,-0.2807340041279669,-0.2807340041279669,-0.2807340041279669
Cr-B,1.0,1.0,1.0
Fe-B,1.0,1.0,1.0
Cr-Cr,0.1821792505817219,0.1821792505817219,0.1821792505817219
Cr-Fe,-0.22193526170798883,-0.22193526170798883,-0.22193526170798883
Fe-Cr,-0.17032547976830958,-0.17032547976830958,-0.17032547976830958
Fe-Fe,-0.07065198159943376,-0.07065198159943376,-0.07065198159943376
""
Rg,9.346027586253152,9.346027586253152,9.346027586253152
