Atom Type,r_0,r_f,Times Moved,dE
B,[12.9191401   5.63991389 11.4052576 ],[7.1619671  8.62815955 5.69272571],1,-0.7062391976301114
Fe,[2.90038098 2.87446337 5.74116625],[17.27574924 17.20921554  8.58513936],1,0.04549349198987329
Cr,[1.5300486  1.41937727 4.32183178],[ 7.20247043  9.998653   18.6150754 ],1,0.04549349198987329
B,[18.54584778 11.42884611 18.20290405],[ 7.16920919 17.14541448 14.35372774],2,0.023109006750019034
Fe,[7.16815621 7.17743282 4.32229203],[15.83785519 12.90443946  7.17462815],2,0.07103992296015349
Cr,[7.13935002 7.20598166 7.19804354],[11.50439467 11.52835192  8.60728879],2,0.07103992296015349
Fe,[ 7.19719008 15.77535361 12.91307003],[15.83872473 15.8074992   1.44044693],3,-0.15041558063012417
Cr,[ 8.68746815 14.34554994 14.3724924 ],[14.31794473  2.83698856 17.23814017],3,-0.15041558063012417
Fe,[14.48885    14.30522589  2.78266733],[8.56999502e+00 1.72192923e+01 8.11073892e-03],4,-0.03450704347960709
Cr,[17.23596442 14.36003438  2.88876753],[ 8.59619318 14.33163781 11.40409941],4,-0.03450704347960709
B,[18.66703634  2.91701058  2.81371179],[ 1.45696195 11.4931686   0.02472376],3,-0.21839075171010336
B,[ 1.45696195 11.4931686   0.02472376],[1.44233577 2.81807071 0.00400435],4,-0.035999916909986496
B,[ 4.27622801 11.50564273  2.83250159],[ 1.43813785  2.81250277 20.08979583],5,-0.20043799370023407
B,[7.17428791 8.61399378 2.85269317],[1.4422149  2.82255499 0.00344909],6,-0.4122632493799756
Cr,[10.93770142 19.95491919 14.34894973],[14.3571407   2.86625802  5.76061837],5,-0.06974837849975302
Fe,[ 9.95062377  1.4607798  15.84040886],[11.48958841 11.52201029  5.7250024 ],5,-0.06974837849975302
B,[ 7.19058729  8.63512129 14.333953  ],[14.3586345   1.38191159  7.20163182],7,0.20814077798968356
Fe,[18.69956579 15.79910179  4.31941233],[ 7.12659383 15.79645309 18.64637169],6,0.06632564964002086
Cr,[18.6887123  15.81223069  7.15379779],[ 9.99159201 18.6258003  12.77587779],6,0.06632564964002086
Fe,[ 0.03141106 14.36029333  5.75687821],[ 5.70080348 17.21474255 11.48331739],7,-0.00817129097003999
Cr,[ 1.43133542 12.88450269  7.19259663],[15.84999581 15.79460144  7.18748978],7,-0.00817129097003999
Fe,[10.06301164 10.09298647  7.14983177],[ 1.4556363   7.15269293 18.67693499],8,-0.09704895290997229
Cr,[10.21051454  7.0509605   7.33567807],[15.76963637 10.04304998  7.18603469],8,-0.09704895290997229
Cr,[ 4.27711278 10.03123252  1.43492677],[17.26285731 17.21324055  5.73271291],9,0.10278126336015703
Fe,[ 4.31941994 10.05196087 18.66076767],[12.91124815 15.77239569 18.70297418],9,0.10278126336015703
Fe,[13.29481232 12.93771779  4.32018961],[ 8.58308751 20.07400438 17.2302347 ],10,0.24170241497995448
Cr,[14.49132348 14.34099385  5.80328884],[ 4.2658584 12.9301472  4.2953033],10,0.24170241497995448
Fe,[1.92067510e-02 1.43728298e+01 1.14730081e-02],[7.15530732 1.40729004 1.4335032 ],11,-0.0011636120098046376
Cr,[18.68887698 15.79030114  1.4707883 ],[ 9.6002421  15.7608583   4.32634687],11,-0.0011636120098046376
