step,B,Cr,Fe
100,0.13,0.16,0.16
200,0.12,0.175,0.175
300,0.11,0.17666666666666667,0.18333333333333332
400,0.095,0.175,0.18
500,0.094,0.174,0.178
600,0.08833333333333333,0.17333333333333334,0.17666666666666667
700,0.08714285714285715,0.1742857142857143,0.17714285714285713
800,0.0825,0.18,0.1825
900,0.0811111111111111,0.19,0.1922222222222222
1000,0.074,0.184,0.186
1100,0.06909090909090909,0.17909090909090908,0.1809090909090909
1200,0.06583333333333333,0.17916666666666667,0.18083333333333335
1300,0.06384615384615384,0.18307692307692308,0.18461538461538463
1400,0.06428571428571428,0.18071428571428572,0.18214285714285713
1500,0.06266666666666666,0.17666666666666667,0.178
1600,0.060625,0.17125,0.1725
1700,0.060588235294117644,0.16823529411764707,0.16941176470588235
1800,0.059444444444444446,0.17055555555555554,0.17166666666666666
1900,0.05894736842105263,0.1668421052631579,0.16789473684210526
2000,0.0575,0.1655,0.1665
2100,0.056666666666666664,0.1657142857142857,0.16666666666666666
2200,0.057272727272727274,0.16227272727272726,0.16318181818181818
2300,0.056956521739130433,0.16391304347826086,0.16478260869565217
2400,0.05583333333333333,0.16375,0.16458333333333333
2500,0.0544,0.1616,0.1624
2600,0.05384615384615385,0.16115384615384615,0.16192307692307692
2700,0.05296296296296296,0.16,0.16074074074074074
2800,0.05285714285714286,0.16071428571428573,0.16142857142857142
2900,0.05241379310344828,0.16,0.1606896551724138
3000,0.051666666666666666,0.15866666666666668,0.15933333333333333
3100,0.05064516129032258,0.15870967741935485,0.15935483870967743
3200,0.05,0.158125,0.15875
3300,0.0503030303030303,0.1603030303030303,0.16090909090909092
3400,0.05,0.15735294117647058,0.15794117647058822
3500,0.05,0.15685714285714286,0.15742857142857142
3600,0.04972222222222222,0.15638888888888888,0.15694444444444444
3700,0.04972972972972973,0.15567567567567567,0.1562162162162162
3800,0.049473684210526316,0.15394736842105264,0.15447368421052632
3900,0.04948717948717949,0.15256410256410258,0.15307692307692308
4000,0.0495,0.152,0.1525
4100,0.04878048780487805,0.15073170731707317,0.15121951219512195
4200,0.047857142857142855,0.15023809523809523,0.15071428571428572
4300,0.047674418604651166,0.14976744186046512,0.15023255813953487
4400,0.04727272727272727,0.14886363636363636,0.14931818181818182
4500,0.04733333333333333,0.14866666666666667,0.1491111111111111
4600,0.04717391304347826,0.14695652173913043,0.14739130434782607
4700,0.046595744680851064,0.14680851063829786,0.1472340425531915
4800,0.04645833333333333,0.14729166666666665,0.14770833333333333
4900,0.04653061224489796,0.14714285714285713,0.14755102040816326
5000,0.046,0.1464,0.1468
5100,0.045294117647058825,0.14568627450980393,0.14607843137254903
5200,0.04519230769230769,0.14615384615384616,0.14653846153846153
5300,0.04490566037735849,0.14547169811320754,0.1458490566037736
5400,0.045,0.14629629629629629,0.14666666666666667
5500,0.04454545454545455,0.14672727272727273,0.14709090909090908
5600,0.044642857142857144,0.14714285714285713,0.1475
5700,0.04421052631578947,0.14684210526315788,0.14719298245614035
5800,0.04396551724137931,0.14586206896551723,0.14620689655172414
5900,0.04440677966101695,0.14661016949152542,0.14694915254237287
6000,0.04466666666666667,0.146,0.14633333333333334
