Distance,"Avg RDF ('B', 'Cr')","Avg RDF ('Cr', 'Cr')","Avg RDF ('Cr', 'Fe')"
0.17857142857142858,0.0,0.0,0.0
0.5357142857142857,0.0,0.0,0.0
0.8928571428571428,0.0,0.0,0.0
1.25,0.0,0.0,0.0
1.6071428571428572,0.0,0.0,0.0
1.9642857142857144,2.156241659736433,0.0,0.0047225378231406925
2.321428571428571,3.7635189074139834,3.421975239577129,2.5920411141720083

Species,SRO
B-Cr,-0.9655536218005576,-0.9655536218005576,-0.9655536218005576
Cr-Cr,-0.2670287330212693,-0.2670287330212693,-0.2670287330212693
Cr-Fe,0.03901174215232983,0.03901174215232983,0.03901174215232983
