Distance,"Avg RDF ('Cr', 'Cr')","+sigma ('Cr', 'Cr')","-sigma ('Cr', 'Cr')","Avg RDF ('Cr', 'Ni')","+sigma ('Cr', 'Ni')","-sigma ('Cr', 'Ni')","Avg RDF ('Ni', 'Ni')","+sigma ('Ni', 'Ni')","-sigma ('Ni', 'Ni')"
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.35,0.3005379008415617,0.3893242285358839,0.21175157314723944,0.0,0.0,0.0,0.0,0.0,0.0
2.45,10.805571801058068,10.982401218342618,10.628742383773519,18.107811484635054,18.33169029638118,17.88393267288893,15.933279659351172,15.971720921887673,15.89483839681467
2.55,0.792600160079429,0.952364751851628,0.63283556830723,0.908678748006249,1.0487256731132428,0.7686318228992551,0.08986535786426506,0.12851932980044073,0.05121138592808937
2.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.35,0.007783712187852232,0.017316773798078677,-0.0017493494223742127,0.0008331533069598206,0.002499459920879462,-0.0008331533069598206,0.0,0.0,0.0
3.45,2.5138270100201376,2.536857831295242,2.4907961887450334,2.52702886049745,2.5738233815073572,2.4802343394875423,2.931707964582184,2.9833714047881577,2.8800445243762107
3.55,2.6064467142631402,2.7985902576195474,2.414303170906733,1.2419286983258235,1.2984091634317845,1.1854482332198626,1.441928705406894,1.5021263678277235,1.3817310429860648
3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.15,0.017754833414804733,0.04127627088972047,-0.0057666040601110045,0.0010856899498171233,0.0024153831516499323,-0.0002440032520156859,0.0,0.0,0.0
4.25,9.932080139606835,10.203458312867221,9.66070196634645,9.444393424124886,9.548488811905884,9.340298036343889,10.628935595208324,10.792591514782131,10.465279675634516
4.35,2.248406837216787,2.3915142864046595,2.105299388028915,1.3128734627993037,1.456080941776099,1.1696659838225085,0.7894388544802767,0.9230021833823462,0.6558755255782073
4.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.8500000000000005,0.20055761312850237,0.22448501682332195,0.1766302094336828,0.10652809490755674,0.12871694157913288,0.08433924823598062,0.03743695482570331,0.05863728328883727,0.01623662636256935
4.95,3.41217492288947,3.503389025131891,3.320960820647049,4.195635738224479,4.268102949266715,4.123168527182243,4.047096594087184,4.06034315912831,4.033850029046057

Species,SRO,SRO+std,SRO-std
Cr-Cr,0.2948342876792817,0.3084802214593291,0.28118835389923436
Cr-Ni,-0.12621831489079982,-0.12037650191719283,-0.1320601278644068
Ni-Ni,0.054175893037741264,0.056699169107229774,0.051652616968252754
