step,Cr,Ni
100,2.068262548262548,0.8854214876033057
200,2.0015444015444013,0.8568595041322313
300,1.9348262548262545,0.8282975206611569
400,1.8347490347490347,0.7854545454545455
500,1.7747027027027027,0.7597487603305785
600,1.7457915057915057,0.7473719008264462
700,1.7442029784886928,0.7466918536009446
800,1.697142857142857,0.7265454545454546
900,1.6420077220077218,0.7029421487603306
1000,1.6446023166023165,0.7040528925619834
1100,1.6345945945945943,0.6997685950413223
1200,1.565096525096525,0.6700165289256198
1300,1.5678764478764478,0.6712066115702479
1400,1.5392829564258135,0.658965761511216
1500,1.530069498069498,0.6550214876033058
1600,1.5157528957528956,0.648892561983471
1700,1.4815353168294343,0.6342440447253281
1800,1.4603861003861003,0.625190082644628
1900,1.4484860800650274,0.6200956937799043
2000,1.431104247104247,0.6126545454545455
2100,1.4264975179260893,0.6106824085005903
2200,1.4162442962442963,0.6062930127723516
2300,1.4097834480443174,0.6035271289974847
2400,1.4024710424710423,0.600396694214876
2500,1.402415444015444,0.6003728925619835
2600,1.3997980397980396,0.5992523839796566
2700,1.406023166023166,0.6019173553719007
2800,1.401081081081081,0.5998016528925619
2900,1.3930288909599253,0.5963545169563979
3000,1.392185328185328,0.595993388429752
