Interstitial Type,Ref. Compound,Content (at%),Excess Energy (meV/atom),Sigma Excess (meV/atom)
B,CrB,1,4.8975682595113295,0.8752093347950177
B,FeB,1,5.314541011137772,0.8752093347950177
B,MoB,1,11.61023578493157,0.8752093347950177
B,NbB,1,12.138263859846298,0.8752093347950177
B,NiB,1,8.032788140032602,0.8752093347950177
B,TiB,1,18.914738543288685,0.8752093347950177
B,CrB,2,9.769753090112522,2.018271804138937
B,FeB,2,10.550216276754975,2.018271804138937
B,MoB,2,22.334099003186275,2.018271804138937
B,NbB,2,23.32242851003578,2.018271804138937
B,NiB,2,15.638059086684141,2.018271804138937
B,TiB,2,36.006204620133936,2.018271804138937
B,CrB,4,16.844972202014652,2.7494274426200396
B,FeB,4,18.419635707878708,2.7494274426200396
B,MoB,4,42.19481230079299,2.7494274426200396
B,NbB,4,44.18886715544877,2.7494274426200396
B,NiB,4,28.68487375303772,2.7494274426200396
B,TiB,4,69.77966976978344,2.7494274426200396
B,CrB,6,21.472500740797344,2.4200964080080714
B,FeB,6,23.768582137308012,2.4200964080080714
B,MoB,6,58.43614156854808,2.4200964080080714
B,NbB,6,61.34375467975982,2.4200964080080714
B,NiB,6,38.73674645842764,2.4200964080080714
B,TiB,6,98.65875282744906,2.4200964080080714
B,CrB,8,26.143745697159797,2.857199878942549
B,FeB,8,29.134955372010563,2.857199878942549
B,MoB,8,74.29796193256989,2.857199878942549
B,NbB,8,78.08584178830876,2.857199878942549
B,NiB,8,48.63466387543304,2.857199878942549
B,TiB,8,126.69778718625066,2.857199878942549
B,CrB,10,29.339492998783737,4.175921098694362
B,FeB,10,33.00095267674985,4.175921098694362
B,MoB,10,88.2837798377896,4.175921098694362
B,NbB,10,92.92042215456723,4.175921098694362
B,NiB,10,56.870023781213696,4.175921098694362
B,TiB,10,152.4250030064371,4.175921098694362
B,CrB,20,38.746761640963136,4.159866953914001
B,FeB,20,45.494321665112736,4.159866953914001
B,MoB,20,147.37286939802874,4.159866953914001
B,NbB,20,155.91755515033745,4.159866953914001
B,NiB,20,89.48169396017964,4.159866953914001
B,TiB,20,265.57620670563784,4.159866953914001
