Atom Type,r_0,r_f,Times Moved,dE
C,[ 9.86989876  4.80272735 13.70754782],[ 1.51213669 17.67319452  0.02149139],1,-0.3161162998094369
Ni,[ 1.38402848 15.97056407  3.60860172],[14.00932846 12.49470089 15.91468354],1,-0.2319600544306013
Cr,[ 3.54975968 15.98012444  1.93063676],[19.11033585  4.11611418  4.8627909 ],1,-0.2319600544306013
Ni,[10.54582261  8.84712487 19.34455978],[13.69484044  8.41601983  5.33209525],2,-0.29005322733974026
Cr,[ 8.74076812 10.8071565  19.43787516],[5.19860261 5.40841748 7.10785586],2,-0.29005322733974026
C,[10.41299469 15.85983664 10.43414418],[ 6.87379361 12.31639134 13.94315848],2,-0.08674858946051245
C,[16.19316618  1.28237789  8.68374238],[6.86167446 8.11605587 0.21079275],3,-0.6125614460997895
Ni,[ 3.24168959 15.80282425 12.66133762],[10.50032479 19.44872804 12.2060451 ],3,0.021294918739840796
Cr,[ 5.13500274 14.27565286 12.18911206],[17.52841674  3.52327623 10.81981699],3,0.021294918739840796
C,[21.02817683  0.21291919 19.28930418],[21.0082463  10.34601425 15.72324517],4,0.00817176113014284
C,[15.73788647 16.10168443  8.60525357],[1.68800263 6.77239683 0.18585097],5,-1.3269139159601764
Cr,[ 8.67963952 15.94023213 13.99131629],[ 3.34598552 14.05758789  6.68484058],4,-0.0002700875093069044
Ni,[10.51577384 15.75687844 12.11048908],[ 3.09483549 17.58842616 14.44653825],4,-0.0002700875093069044
Ni,[15.67490726  1.61195455  0.10411021],[15.72913129  4.9344514   7.20840765],5,0.28147052128952055
Cr,[15.60543814  1.54528023  3.24382119],[18.94573072 10.32977527  1.94798367],5,0.28147052128952055
Cr,[17.52152396 12.57637454 15.90760434],[ 3.23190865  8.89846862 12.4112138 ],6,-0.2348929033796594
Ni,[17.49340259 14.250813   17.76313269],[-0.01808334  3.48439802  7.17141832],6,-0.2348929033796594
C,[3.54174296 4.12464811 1.27989308],[20.71115637 17.83615618 19.46900681],6,-0.4909838037501686
C,[10.26665313 12.54106333  7.26618648],[17.879102    5.28676847  3.70913176],7,-0.19994638703974488
C,[10.55978697  4.96828151 17.4684695 ],[10.48144693 17.53402373 15.93471956],8,-1.109741107839909
Ni,[ 5.08596848  3.4154984  15.8283431 ],[ 8.90873304 13.87565957 12.11921904],7,-0.08831308874050592
Cr,[ 4.89914893  3.55805637 18.93890668],[ 8.79738683 15.83624898  0.04329167],7,-0.08831308874050592
Cr,[13.97985998 15.97586613  5.05862936],[-4.74307981e-03  1.73082090e+00  8.89064109e+00],8,-0.3112083424393859
Ni,[14.08559222 17.95157097  6.89210801],[10.45080033 -0.03170111 10.47509488],8,-0.3112083424393859
Ni,[ 8.71125565 12.33527152 17.71108674],[ 3.40154965 19.66653798  5.23799461],9,-0.2638503272601156
Cr,[10.46650747 10.60398303 17.79980256],[13.98601636  3.46484716  3.31817153],9,-0.2638503272601156
C,[14.06948493  8.70373178  3.54092441],[ 1.45188571 17.89957098  7.23231563],9,-0.7248160298804578
C,[21.0987414  10.47190852 15.9452522 ],[ 8.89722315  3.60227415 10.57727338],10,-0.23233832229016116
C,[ 8.89722315  3.60227415 10.57727338],[21.2594652   3.40453236 15.67815935],11,0.3552598043506805
Cr,[15.62674204 19.18018207 17.65517432],[-0.19415246 15.68331592 15.97100216],10,-0.21241706354066991
Ni,[13.89102215 -0.09157348 17.69962643],[ 3.08807474 19.33473847 12.46108   ],10,-0.21241706354066991
C,[ 6.96631326 14.05086747  8.82403778],[17.93086865  5.27236364  3.67977414],12,-1.5826014912499886
Cr,[ 0.01934301  1.52627091 15.80906072],[12.13270283 19.59142681  7.00339378],11,-0.0007801169695085264
Ni,[19.45571493  3.52644184 15.68340165],[1.73520937 3.46528297 8.81589136],11,-0.0007801169695085264
C,[12.51108291  8.48727224  2.34432794],[ 1.34888547 17.94260219  7.25672782],13,-0.4524648324404552
C,[17.3540602  11.05914631 12.32972326],[ 4.74739662 17.2490538  13.8336534 ],14,-0.7624317095296647
Ni,[ 9.86604876 12.3075394   8.73015282],[19.24595841 12.20095188  3.33727288],12,0.07622138858005201
Cr,[10.31893874 10.67984816  7.00706201],[ 3.41913542 10.36478991  0.17185048],12,0.07622138858005201
Cr,[17.62880006  0.10957906 14.17214632],[1.72272925 7.02240736 8.76314272],13,-0.11680091326979891
Ni,[15.80266433 -0.01778092 16.07024892],[ 5.29828364 19.55722039 10.27149023],13,-0.11680091326979891
C,[18.9209316   8.21626754 15.8325262 ],[19.19109347 19.43131081  5.33359536],15,-0.22169471033066657
C,[21.68645554  3.19947589  1.87054711],[9.95748209 9.84109571 2.00160272],16,-1.5082433984498493
C,[11.9899665   8.69231717  5.50495764],[ 5.33891835 17.74508994  6.9912168 ],17,0.061665424090278975
C,[12.16145539  3.45602311  7.09576653],[17.67022216  5.62124239 10.7691233 ],18,-1.8993316278902057
C,[ 5.55873816 10.88406882 10.69770133],[ 7.01318103 15.89926509  0.0394536 ],19,-0.0957634049200351
C,[ 4.94364692 -0.02970815 14.02996404],[13.90914381 19.37515271 14.05550027],20,-2.2809313222396668
Ni,[10.24215983  5.0757571  12.28503592],[15.65142256  5.47867908 17.12658907],14,0.13737457092975092
Cr,[11.92977027  6.84721886 12.64722342],[ 3.43914114 17.7086869   7.15857629],14,0.13737457092975092
C,[ 4.74390825 17.32783673 13.81468573],[14.23591458  5.43725795  7.02112325],21,-0.29617739375953533
C,[10.87818959 11.86536006 13.83986007],[17.17300332  4.93569721 -0.25508085],22,-0.4685216123007194
Cr,[ 1.75037102 15.7590684  17.35051239],[13.90746331 19.41493436 15.94553656],15,0.31301981000069645
Ni,[-0.40896246 15.91993005 19.5324433 ],[15.50347262  8.66240144 -0.1514492 ],15,0.31301981000069645
C,[19.49353342  1.74406848 12.42615841],[15.94375032  1.93580875 16.05902397],23,-0.6799870822105731
Cr,[ 7.07215231 10.75148129  3.79319082],[-0.3008441   4.97452596 19.24287472],16,0.02999675060982554
Ni,[ 6.99542195 12.53313935  1.78276531],[ 1.69554199  7.01784577 12.25612559],16,0.02999675060982554
Cr,[ 2.09819419 11.07424888  5.34472717],[13.98640009 15.9549434   1.70399427],17,0.11007677644010982
