Element,0 at%,1 at%,2 at%,4 at%,6 at%,8 at%,10 at%,12 at%
CrNi,0.0,,,,,,,
CrNi_std,0.9746971865237691,,,,,,,

energy_atom,-5.07492323509397,-5.07492323509397,-5.07492323509397,-5.07492323509397,-5.07492323509397,-5.07492323509397,-5.07492323509397,-5.07492323509397
std_energy,0.0006892149901944063,0.0006892149901944063,0.0006892149901944063,0.0006892149901944063,0.0006892149901944063,0.0006892149901944063,0.0006892149901944063,0.0006892149901944063
C,,-0.4382453526521831,0.03133785778841337,4.142668476227295,7.896993201066965,10.701409114937832,14.200393561101176,38.24134655994153
C_std,,1.2825461223739574,1.1535323013430636,2.7482608739714243,2.11363959085517,2.3244588971897016,2.722668193213324,4.373663530730142

energy_atom,-5.07492323509397,-5.102758914143176,-5.126172678354929,-5.174244735026861,-5.217891586396629,-5.260760972528902,-5.301301148792495,-5.48003418830438
std_energy,0.0006892149901944063,0.001086117368924355,0.0009347591702201905,0.00266724341333747,0.002011182808487151,0.00223511825750199,0.002649531118321294,0.004335802899372795
