Interstitial Type,Ref. Compound,Content (at%),Excess Energy (meV/atom),Sigma Excess (meV/atom)
C,CrC,1,8.541759569287391,1.2825461223739083
C,FeC,1,3.0684974419550195,1.2825461223739083
C,MoC,1,6.238524227273686,1.2825461223739083
C,NbC,1,16.27375141607642,1.2825461223739083
C,NiC,1,0.008037505847590559,1.2825461223739083
C,TiC,1,22.55852839881782,1.2825461223739083
C,CrC,2,16.83954230305417,1.1535323013432757
C,FeC,2,6.595036913756719,1.1535323013432757
C,MoC,2,12.528492270159079,1.1535323013432757
C,NbC,2,31.311794919802356,1.1535323013432757
C,NiC,2,0.8666618460595884,1.1535323013432757
C,TiC,2,43.07524241644314,1.1535323013432757
C,CrC,4,38.05492288110867,2.74826087397155
C,FeC,4,17.38559593751207,2.74826087397155
C,MoC,4,29.356942918776696,2.74826087397155
C,NbC,4,67.2541579421196,2.74826087397155
C,NiC,4,5.828019204381127,2.74826087397155
C,TiC,4,90.98810438973588,2.74826087397155
C,CrC,6,57.34584126467779,2.1136395908552585
C,FeC,6,27.207048502380378,2.1136395908552585
C,MoC,6,44.662960189222495,2.1136395908552585
C,NbC,6,99.92244265682183,2.1136395908552585
C,NiC,6,10.354472172985275,2.1136395908552585
C,TiC,6,134.52988272335847,2.1136395908552585
C,CrC,8,75.12067271895461,2.3244588971896882
C,FeC,8,35.85749649362179,2.3244588971896882
C,MoC,8,58.59810664811038,2.3244588971896882
C,NbC,8,130.58714799286562,2.3244588971896882
C,NiC,8,13.90287875260678,2.3244588971896882
C,TiC,8,175.67183432243488,2.3244588971896882
C,CrC,10,93.05428941249878,2.722668193213274
C,FeC,10,44.99328660596551,2.722668193213274
C,MoC,10,72.82945865136382,2.722668193213274
C,NbC,10,160.94931676609264,2.722668193213274
C,NiC,10,18.119226830167342,2.722668193213274
C,TiC,10,216.13627422928067,2.722668193213274
C,CrC,20,183.5580896603122,4.373663530730075
C,FeC,20,94.9883579739436,4.373663530730075
C,MoC,20,146.28654455488137,4.373663530730075
C,NbC,20,308.67916505179437,4.373663530730075
C,NiC,20,45.46321025184238,4.373663530730075
C,TiC,20,410.3810382893866,4.373663530730075
