Atom Type,r_0,r_f,Times Moved,dE
Ni,[ 1.69078962  1.74433208 10.62814418],[ 5.3596213  12.32299654 17.61617185],1,0.06960185865045787
Cr,[-0.10129236  1.80752782  8.84802677],[10.61424613 12.3165169  19.41117484],1,0.06960185865045787
H,[21.24641561  8.76783451  3.58684119],[10.5656874   8.80836014 24.63058429],1,-5.982483407350628
H,[3.545675   8.82630957 3.65196926],[ 7.06767607 17.59034472  1.67676698],2,-0.11192779551947751
Ni,[17.56469549 14.05970462 17.63463875],[3.49160583 8.82523187 5.27387259],2,-0.0738490351004657
Cr,[15.81579035 12.3055947  17.63247859],[10.38105202  1.86638766 12.4214066 ],2,-0.0738490351004657
Ni,[ 5.28548283 15.83010559 17.65662571],[14.0913807  14.09475561  0.01881351],3,-0.04234558071948413
Cr,[ 7.05313891 14.06033925 17.64390866],[15.83981501 19.27172258 14.1457021 ],3,-0.04234558071948413
H,[10.59880085 19.37704898  3.45409592],[21.04882204 17.6349394   8.78131582],3,-0.030105851859843824
H,[18.35197179 18.33611891 11.54945002],[5.26491919 8.78884171 5.26145328],4,-0.37963946849049535
Ni,[ 8.80144484 10.5683787   5.27807155],[1.75749072e+01 3.49994733e+00 2.29748930e-03],4,-0.1047043723601746
Cr,[ 7.05740601 12.31240862  5.25949916],[0.04148734 7.02125482 0.04255573],4,-0.1047043723601746
H,[ 3.53640455  1.767497   -3.40009619],[13.06414857 11.58689486  4.5044254 ],5,0.022437293760049215
H,[ 5.31278445 19.29248496 12.31248029],[8.89283001 5.29106714 8.78928208],6,0.03577017344014166
H,[19.2513479  10.55598124 -3.46571651],[ 8.87550144 17.61352869  3.43484249],7,-0.04882543156963948
Cr,[ 7.0345035  19.36507973  5.17760668],[17.59633923 -0.02200014  7.03333917],5,-0.23289543975988636
Ni,[7.05159966 0.0529719  3.48218167],[17.58995129  3.53975505 10.56961097],5,-0.23289543975988636
Ni,[ 1.76086634 15.84100442 14.056921  ],[ 5.29042654  7.05146904 12.27115467],6,-0.10905354149053892
Cr,[ 3.52367076 15.83291833 15.8377916 ],[ 1.76998997e+00  5.29914652e+00 -5.07162106e-03],6,-0.10905354149053892
H,[ 3.56074294  8.80046927 21.10716261],[ 7.03530903 19.35011079 14.09368539],8,-0.22840838184947643
H,[ 7.08801658 17.51354763  8.76131411],[8.89406907 5.29186672 8.78943052],9,-0.04714540196073358
Ni,[14.11071959 10.52602275  7.04523922],[ 5.27158371 17.57740049 19.38427882],7,0.07758461309003906
Cr,[12.30593369  8.73569072  7.07178782],[14.09172124 10.54812162  3.48741912],7,0.07758461309003906
H,[21.11891979 10.51937406  5.2454619 ],[15.85505276  0.07555139 14.06590431],10,-0.0016666597493895097
H,[12.25255986 10.57928629  6.97290661],[14.12688909 14.04728809 12.36092205],11,-0.053681702310313995
H,[19.27626181 15.82397964  8.73419816],[1.68011669 1.80280704 5.258553  ],12,0.058753655350301415
