Atom Type,r_0,r_f,Times Moved,dE
Ni,[17.56610317 17.57958606  7.01580718],[3.5186345  8.81117967 1.73862393],1,-0.15175207554057124
Cr,[17.59351179 15.83950454  5.27321233],[12.30175909  8.78879859  0.03060374],1,-0.15175207554057124
N,[ 3.59502324  5.32052627 14.03157974],[3.62032273e-03 5.26977116e+00 7.05155975e+00],1,-0.16041358815982676
Ni,[ 8.83011569 14.18610945  1.77807391],[5.25766175 1.7529388  3.67603985],2,-0.5506257077404371
Cr,[10.56873594 14.17802734  0.02072852],[19.31130099 19.32111968 17.57561422],2,-0.5506257077404371
Cr,[ 1.75013556 12.31952582  0.04030365],[ 5.25102233  8.69235852 14.10517322],3,-0.16582304112944257
Ni,[ 3.52364373 14.09169437  0.02666625],[14.02612618  3.53154631 10.55991327],3,-0.16582304112944257
N,[5.97321677e-03 1.41582518e+01 1.22604565e+01],[17.62915345 12.35227435 17.60830438],2,0.2364450333698187
Ni,[14.05978737 10.57664932  7.05039327],[ 8.81558271 21.10708581  8.76158465],4,-0.20392946106039744
Cr,[12.27914292 10.55911854  8.76167765],[19.3391482   8.86406011 14.07402509],4,-0.20392946106039744
Cr,[ 7.05105965 15.84545224 15.82056575],[ 8.8180131  15.87077011 17.56800407],5,-0.0007065724894346204
Ni,[ 8.80205936 14.10102324 15.83516231],[14.06437573 12.3355512   1.7842822 ],5,-0.0007065724894346204
N,[ 8.83787672  1.75421979 12.30093798],[3.28131716e-03 5.27165154e+00 7.05189697e+00],3,-0.14752832640988345
N,[5.18012135 1.77578371 1.83893924],[10.50016271 21.10804025 15.87059343],4,-0.28730813537003996
Ni,[21.10074126 10.57248243 10.5463131 ],[ 5.25528109 12.34327537  3.43969154],6,-0.2679031626903452
Cr,[19.31579735 10.59674731 12.30695782],[3.48463361 1.75335886 1.78690202],6,-0.2679031626903452
Ni,[8.90500784 3.54293027 8.77727383],[ 1.77028765 12.31437996 10.54816421],7,-0.2373265381602323
Cr,[8.82338767 1.73868005 6.98864295],[15.87856826 19.41761694  0.04987975],7,-0.2373265381602323
Ni,[ 7.13852471 12.33725177  5.30866841],[15.85208816  5.37059049  7.06161769],8,-0.4600611767891678
Cr,[ 8.81480997 10.5294416   5.2972748 ],[21.04372558 15.84922516 12.30296859],8,-0.4600611767891678
N,[17.5216058   8.82101342  3.56344701],[ 8.78582713 12.33541174  1.75932015],5,-0.17227835864014196
Ni,[14.07975868  8.80441431  5.27110092],[ 8.80406626 17.59033086 12.28067332],9,-0.014285487300185196
Cr,[15.7996228   8.79333237  3.50754048],[ 1.72214055 15.80071063  7.06048732],9,-0.014285487300185196
N,[15.83711432  3.49740264  7.06498975],[15.79668721  1.80725816 15.84646059],6,0.19810186803988472
Ni,[10.55390723 19.24207985 15.8259678 ],[17.55936318  8.82764449  8.82010654],10,-0.08883462361973216
Cr,[ 8.67656255 21.07778768 15.79406433],[14.03096749 15.84525288 15.7690206 ],10,-0.08883462361973216
Cr,[19.38662642  3.51609194 15.82812457],[10.56978163  3.54657914 14.08899826],11,-0.004201342259875673
Ni,[17.61870918  3.53999141 14.03780862],[12.31655234 12.31850808  7.03953671],11,-0.004201342259875673
N,[ 5.30861807 12.3132573   5.30239191],[7.12146664 3.48897919 8.75540946],7,-0.03307760075040278
Cr,[ 3.50074638  3.53583007 17.70059507],[17.60005358  3.55554031 13.98698138],12,-0.023750596739773755
