Atom Type,r_0,r_f,Times Moved,dE
Ni,[29.47102817 20.61270838 19.45647692],[34.9158869   1.82180246 -1.47329706],1,-6.38430774059816
Cr,[29.61374633 21.06628448 17.12647218],[38.47137417 26.17782236  9.46064431],1,-6.38430774059816
Ni,[22.18374828 26.31304706  1.24241012],[29.86727397  5.58130881 34.3265627 ],2,-0.21411860790249193
Cr,[20.22216385 27.52462252 -0.0285965 ],[21.8623125   7.46030692 26.84877621],2,-0.21411860790249193
Ni,[19.27168538 23.69101087 17.53591844],[15.1980649  21.00245454  7.72540297],3,-0.14196519489996717
Cr,[21.47644275 23.02029374 16.31555705],[17.59427011 38.62507254  5.62614184],3,-0.14196519489996717
Ni,[29.65657271 19.27188981 15.47168133],[36.19280115 21.63843667  3.52021123],4,-0.36025679059821414
Cr,[27.65292026 19.84362736 16.87139037],[33.56348149 15.69022098 13.44952854],4,-0.36025679059821414
Ni,[ 8.7448888  30.59781337 28.51780927],[24.2506957  29.07231792 23.09506589],5,-0.04625385250255931
Cr,[ 9.10485303 30.13976251 30.97486442],[29.23659747 15.09949982  5.45166069],5,-0.04625385250255931
Ni,[ 8.31225233  5.51380256 16.36489724],[38.10240299 23.0190169  12.82648633],6,-3.2323544766986743
Cr,[ 8.33001535  8.00591164 16.02081675],[12.96724478 14.05895636 26.96048662],6,-3.2323544766986743
Ni,[15.54248793  0.52030054  4.8975577 ],[38.60814967  5.17221081 32.8417868 ],7,-0.06537922989809886
Cr,[17.43204819 38.6887773   5.79936292],[26.46148622 26.98738938  0.24473063],7,-0.06537922989809886
Cr,[20.22516095 29.5500125  10.78353479],[ 2.31045837 -1.49810455 11.18913053],8,-0.17441243180292076
Ni,[22.37772723 30.75308762 11.17169773],[37.40542889 12.44630596  9.01990856],8,-0.17441243180292076
Cr,[ 6.32893729 11.84559198 14.18813854],[10.84704274 19.84697074 11.25925575],9,-0.2436022371002764
Ni,[ 4.42622832 12.51378185 15.62953248],[30.94420065  5.22070535 13.01660292],9,-0.2436022371002764
Ni,[18.64735969  9.46913901 10.09551545],[30.94384345 15.10905389 38.73116338],10,0.04821711080148816
Cr,[18.44213128  7.00832134 10.71868081],[27.61402269 24.28721439 17.94188211],10,0.04821711080148816
Ni,[16.40098896 37.01055435 17.31634187],[10.51120682 26.14724311 29.82228017],11,-1.8691576554992935
Cr,[16.86529523 38.95275133 18.92625516],[ 2.53847244 17.87847942  6.61969528],11,-1.8691576554992935
Ni,[31.1030601   8.02704249 32.01323021],[11.21665482 19.22711527 33.19059468],12,-0.22466060610167915
Cr,[29.54950004  6.0910834  31.88949868],[22.45400121 31.32530909  8.76857906],12,-0.22466060610167915
Ni,[12.35879283 10.02076756 10.08135249],[12.14629191 33.17478462 11.57894527],13,0.10488296840048861
Cr,[12.37430174 10.64706835  7.68213035],[15.73524527 27.08303956 10.22256658],13,0.10488296840048861
Ni,[27.37095124 28.89576445 32.76344853],[15.60496741 22.70177445  0.41965827],14,0.032163788102479884
Cr,[25.43306153 28.59599765 34.3395912 ],[38.57390202  3.90403989 28.66651572],14,0.032163788102479884
Ni,[16.60503257 34.96704653 14.74307606],[10.25882434 21.46625337 32.46407718],15,-0.30908192270362633
Cr,[16.65876654 36.6521481  16.89015748],[ 2.53739204 17.87778485  6.61843152],15,-0.30908192270362633
Ni,[38.60833999 26.16169776 21.21815415],[29.41486004 33.58105026 22.33261078],16,-0.022621579199039843
Cr,[ 1.50545502 25.81748266 21.6970903 ],[36.83359    30.05067451  5.0408653 ],16,-0.022621579199039843
Cr,[ 8.54401638 36.44569242  3.99833294],[ 4.44707221 19.54569891 32.96765523],17,-0.2593648744987149
Ni,[10.10279373 33.79357661  4.01015047],[35.67419504 17.39416063 11.47042714],17,-0.2593648744987149
Cr,[21.01968029 13.69246949 16.4042588 ],[ 0.32058226 29.41490041 25.01208143],18,0.1511127741978271
Ni,[18.92022073 12.40469708 16.0224196 ],[27.14737943 28.18488064 26.16852123],18,0.1511127741978271
Ni,[ 0.77088502  3.50018637 20.49733101],[14.17863107 31.00709154 39.35875106],19,-0.9947172892971139
Cr,[ 0.33367839  4.98375475 22.30831447],[23.91988085 -0.10963853 10.40697789],19,-0.9947172892971139
Ni,[10.57686988 15.00804872 33.9149255 ],[14.89766764 26.11531637 29.26181545],20,-0.11258229250233853
Cr,[ 8.17933934 15.24475454 33.04924886],[ 2.00163859 13.08505454 23.52864512],20,-0.11258229250233853
Ni,[19.92713608 19.03237076 31.85382707],[ 4.57597444  6.32051485 25.59615004],21,0.04091036019963212
