Distance,"Avg RDF ('Cr', 'Cr')","+sigma ('Cr', 'Cr')","-sigma ('Cr', 'Cr')","Avg RDF ('Cr', 'Ni')","+sigma ('Cr', 'Ni')","-sigma ('Cr', 'Ni')","Avg RDF ('Ni', 'Ni')","+sigma ('Ni', 'Ni')","-sigma ('Ni', 'Ni')"
0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.15000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.35000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.6500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9500000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.05,0.034059545321940506,0.034059545321940506,0.034059545321940506,0.0,0.0,0.0,0.0,0.0,0.0
2.15,0.3096545540805115,0.3096545540805115,0.3096545540805115,0.01160892845029354,0.01160892845029354,0.01160892845029354,0.004263359495302432,0.004263359495302432,0.004263359495302432
2.25,0.7139331388656449,0.7139331388656449,0.7139331388656449,0.19534508653360946,0.19534508653360946,0.19534508653360946,0.12976255475059184,0.12976255475059184,0.12976255475059184
2.35,2.786377076028333,2.786377076028333,2.786377076028333,1.4464911008277042,1.4464911008277042,1.4464911008277042,1.419139526582474,1.419139526582474,1.419139526582474
2.45,5.0973721663765605,5.0973721663765605,5.0973721663765605,11.621187486103707,11.621187486103707,11.621187486103707,11.030898628507037,11.030898628507037,11.030898628507037
2.55,2.019773808419383,2.019773808419383,2.019773808419383,4.009774208805361,4.009774208805361,4.009774208805361,2.75003367941188,2.75003367941188,2.75003367941188
2.65,0.7440159766304192,0.7440159766304192,0.7440159766304192,0.6179060552224109,0.6179060552224109,0.6179060552224109,0.3545535478522568,0.3545535478522568,0.3545535478522568
2.75,0.4448230657989082,0.4448230657989082,0.4448230657989082,0.2554680543764022,0.2554680543764022,0.2554680543764022,0.10858821103247521,0.10858821103247521,0.10858821103247521
2.85,0.2996038051154854,0.2996038051154854,0.2996038051154854,0.15385181739672976,0.15385181739672976,0.15385181739672976,0.07764667535474071,0.07764667535474071,0.07764667535474071
2.95,0.2590762599589156,0.2590762599589156,0.2590762599589156,0.09426434657655042,0.09426434657655042,0.09426434657655042,0.08681567168367339,0.08681567168367339,0.08681567168367339
