Distance,"Avg RDF ('Cr', 'Cr')","+sigma ('Cr', 'Cr')","-sigma ('Cr', 'Cr')","Avg RDF ('Cr', 'Ni')","+sigma ('Cr', 'Ni')","-sigma ('Cr', 'Ni')","Avg RDF ('Ni', 'Ni')","+sigma ('Ni', 'Ni')","-sigma ('Ni', 'Ni')"
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.25,12.96653132636681,14.128380913902433,11.804681738831189,7.007063940444404,7.357942399264317,6.65618548162449,10.443480623422792,10.590551485949756,10.296409760895827
2.75,8.43616762684583,9.0412493638836,7.83108588980806,10.834583647371378,11.17843715401643,10.490730140726326,8.48698995668938,8.85287371603248,8.121106197346279
3.25,1.3262897763885955,1.4983438647852925,1.1542356879918985,2.968235088966166,3.0749177723345045,2.8615524055978274,1.035905998432948,1.074285005125907,0.9975269917399888
3.75,1.4854732637862273,1.7773290893025733,1.1936174382698814,2.963014666245143,3.0385086672333355,2.8875206652569503,2.8410740694512953,2.9688802795341678,2.7132678593684227
4.25,4.882892223798043,4.974026355288367,4.791758092307719,5.782341862460091,5.867568455386992,5.69711526953319,6.481476657032735,6.682876380926959,6.280076933138511
4.75,5.8744857433888695,6.182823380989159,5.56614810578858,4.638027177766794,4.684816334033409,4.59123802150018,4.318965391477259,4.439808186088622,4.198122596865896

Species,SRO,SRO+std,SRO-std
Cr-Cr,-3.6297066971551297,-3.486057595320457,-3.7733557989898023
Cr-Ni,-3.8027668965006782,-3.7403725843796165,-3.86516120862174
Ni-Ni,-3.597990039292218,-3.52728302070906,-3.6686970578753764
