Atom Type,r_0,r_f,Times Moved,dE
Ni,[21.5880509  25.97887784 29.32209655],[ 7.65715889 24.24384251 17.28950514],1,0.1222817634006787
Cr,[19.57564698 25.69345689 30.77503962],[16.10355472 29.08911269  9.69372651],1,0.1222817634006787
Ni,[ 6.11520797 10.98398845 34.02921238],[ 3.67124357 26.47869625 17.26088073],2,-0.2442543863980972
Cr,[ 5.17750249 13.23607006 33.40642752],[10.86532536 27.63313436  1.36831003],2,-0.2442543863980972
Cr,[26.75751785 29.61541179 30.47889401],[34.98555254 29.70759076  2.88571262],3,0.0891310296974552
Ni,[24.47787628 29.91594972 29.60613056],[18.13778109  5.39426791  0.56625376],3,0.0891310296974552
C,[ 5.64584543 18.50560655 23.12942428],[33.14378379 24.17262967 11.37400443],1,-141.31659438019778
Ni,[ 8.57152878 36.72037702 11.82513779],[12.44308029  9.40185185 12.82696915],4,-0.0493461344012757
Cr,[ 8.70282296 37.41846104  9.42854315],[ 1.1835809  16.97142448 27.3858117 ],4,-0.0493461344012757
Ni,[22.45501856  7.38395415  3.29850881],[ 5.21557567 18.32782287  9.36574674],5,-0.0368869191988778
Cr,[22.45629899  8.04131119  0.93976047],[ 5.57853693 20.59964639 19.72667994],5,-0.0368869191988778
Ni,[24.47221354  7.70892762  6.13700232],[ 6.99049644 15.298817    8.83037887],6,-0.1176890968017687
Cr,[26.55027456  7.17791711  4.78131996],[31.12454966 12.54243834 31.6071194 ],6,-0.1176890968017687
Ni,[11.0368933  37.94866222 32.40236612],[26.48419961 30.33560022 12.78497624],7,0.0681655381013115
Cr,[11.57596589 36.18835447 30.51170898],[27.32987107 10.97402234 30.4518912 ],7,0.0681655381013115
C,[ 5.10986758 10.43102944 32.7422732 ],[11.3391455  35.74472139 21.45516993],2,-0.261143456598802
Cr,[32.76174702  7.67245277 17.71417507],[ 4.24492187 35.55234173  6.0104109 ],8,0.2157531990997085
Ni,[32.49029672  5.83984333 16.07297235],[29.55459129 15.79372197 26.19416181],8,0.2157531990997085
Ni,[ 0.05567104 30.8525502  14.79721914],[26.7700775 35.6441989 20.4518027],9,-0.0137437180019333
Cr,[ 0.23065043 33.20428642 14.11489399],[22.98594949 19.68471446 -0.38466711],9,-0.0137437180019333
Ni,[31.24798611 13.60415879  6.65508176],[ 0.48108722 31.25201013 35.73825521],10,-0.2273879530985141
Cr,[30.98612262 11.26559587  7.42721377],[38.91110259 17.13912713 37.79537134],10,-0.2273879530985141
Cr,[23.41656182 20.4703031  19.19765553],[35.58349403 28.28178434 25.07246876],11,0.0161966854975617
Ni,[23.56199662 21.41624176 16.93227503],[ 5.82972515 29.14434399 35.79937155],11,0.0161966854975617
C,[13.40752166  8.13598047  3.48772908],[20.97798857 14.85771062 37.68988874],3,-0.8348285097999906
Ni,[ 8.87831085 24.87854527 26.82583686],[ 5.7586077  25.5563877   7.13190421],12,0.10939067360232
Cr,[ 6.58476471 25.26539025 25.71292778],[37.25675044  1.6725612  32.86983588],12,0.10939067360232
Ni,[25.36351789 14.83322812  4.21128026],[ 0.15787877 31.8334847  33.42129463],13,-0.1961261895012285
Cr,[27.225281   13.70174663  5.24785359],[22.3680123  29.50928862 31.14287265],13,-0.1961261895012285
C,[21.33397765  6.31120518  4.36737808],[ 2.97812268  4.24734852 26.18794094],4,-1.0141493283990712
C,[ 8.36837199  5.38180458 25.97120188],[30.46840674 23.03575578 36.28604732],5,-0.0896782132003863
C,[16.14026326 11.95075421 20.70602684],[34.73604863 34.9820671  28.92743107],6,-0.1555777325993403
Ni,[11.99018309 33.42605845 24.62420638],[14.51947012  9.44154936  9.04517102],14,0.0585948224979802
Cr,[12.80632406 31.21506817 25.30857772],[14.52361131 10.01262901 15.63522843],14,0.0585948224979802
Ni,[30.4741308  30.23054172  5.33485823],[16.89156338 10.85342021 33.39748538],15,0.1203016955005296
Cr,[32.45505313 31.48288105  5.8439965 ],[12.66321715  8.44321336 26.02263836],15,0.1203016955005296
C,[24.295206   23.56871002 24.51652712],[25.57378678  7.97639004  7.58085906],7,0.0095918170991353
C,[ 3.83895928 15.05640152 11.20023022],[ 2.57226857 14.99688614 22.47301398],8,-0.3156255311987479
C,[30.46315747 23.03769782 36.29095402],[ 9.16021665  3.27221254 26.68346786],9,-0.7175163621977845
Ni,[35.48971958 22.57180721 23.31614586],[34.85018348 33.40369964 12.60811023],16,-0.1328281619025801
Cr,[37.77503443 22.20236914 24.1929613 ],[20.17329286  7.09877621 30.8260533 ],16,-0.1328281619025801
C,[38.12195816 35.43381099 12.14590616],[39.06380118 19.72956105 35.53628378],10,-0.179645364798489
C,[37.24665016 23.47888729  6.41030255],[ 1.0809181  14.53607466 17.76253321],11,-0.0745723498002917
Cr,[ 8.27089247 30.43716414 10.93788704],[15.94147443  4.81071157 23.43391208],17,0.0226191910005582
Ni,[ 7.9866628  27.86712433 11.61652574],[34.32120744  1.2267525  25.75944861],17,0.0226191910005582
C,[23.14437199 27.09546896  9.321142  ],[ 5.3306162  16.54694369 20.85266832],12,-0.297089750500163
