MC Step,Interstitial Concentration,Cr Concentration,Ni Concentration,GB Interstitial Concentration,GB Cr Concentration,GB Ni Concentration
100,0.352112676056338,0.2775689223057644,0.24187919463087248,0.052854122621564484,0.31219168428470756,0.634954193093728
200,0.352112676056338,0.2756892230576441,0.24241610738255034,0.05289139633286319,0.31029619181946405,0.6368124118476728
300,0.3615023474178404,0.2719298245614035,0.24751677852348994,0.05373342637822749,0.30286113049546404,0.6434054431263084
400,0.38028169014084506,0.2844611528822055,0.24671140939597316,0.05570839064649243,0.312242090784044,0.6320495185694636
500,0.38028169014084506,0.27882205513784464,0.2483221476510067,0.055823569951757405,0.30668504479669195,0.6374913852515507
600,0.4084507042253521,0.2825814536340852,0.24348993288590604,0.060207612456747404,0.3121107266435986,0.6276816608996539
700,0.39906103286384975,0.2744360902255639,0.2480536912751678,0.05874222529371113,0.30269523151347616,0.6385625431928127
800,0.39906103286384975,0.2781954887218045,0.23731543624161075,0.060155697098372256,0.31422505307855625,0.6256192498230715
900,0.41784037558685444,0.27882205513784464,0.23865771812080536,0.06254392129304287,0.31271960646521435,0.6247364722417428
1000,0.39906103286384975,0.28634085213032584,0.24295302013422818,0.05874222529371113,0.3158258465791292,0.6254319281271596
1100,0.39906103286384975,0.2775689223057644,0.24295302013422818,0.05931612002791347,0.3091416608513608,0.6315422191207257
1200,0.4272300469483568,0.2794486215538847,0.2461744966442953,0.06258596973865199,0.30674002751031637,0.6306740027510316
1300,0.4225352112676056,0.27882205513784464,0.23812080536912753,0.06329113924050633,0.3129395218002813,0.6237693389592124
1400,0.431924882629108,0.2769423558897243,0.24,0.06442577030812324,0.30952380952380953,0.6260504201680672
1500,0.43661971830985913,0.28132832080200504,0.23812080536912753,0.06508047585724283,0.31420573827851644,0.6207137858642408
1600,0.4413145539906103,0.27882205513784464,0.23785234899328858,0.06596491228070175,0.312280701754386,0.6217543859649123
1700,0.45539906103286387,0.2725563909774436,0.24134228187919463,0.06778476589797344,0.3039832285115304,0.6282320055904962
1800,0.4507042253521127,0.2706766917293233,0.2410738255033557,0.06732117812061711,0.302945301542777,0.6297335203366059
1900,0.47417840375586856,0.2700501253132832,0.24536912751677853,0.0698478561549101,0.29806362378976486,0.632088520055325
2000,0.4835680751173709,0.2650375939849624,0.24187919463087248,0.07217939733707078,0.2964260686755431,0.6313945339873861
2100,0.5070422535211268,0.26629072681704263,0.2440268456375839,0.07489597780859916,0.2947295423023578,0.630374479889043
2200,0.5117370892018779,0.2644110275689223,0.24697986577181208,0.07512060647829083,0.29083390764989664,0.6340454858718125
2300,0.5211267605633803,0.2650375939849624,0.24536912751677853,0.07665745856353591,0.2921270718232044,0.6312154696132597
2400,0.5352112676056338,0.2756892230576441,0.24510067114093959,0.07770961145194274,0.299931833674165,0.6223585548738922
2500,0.5305164319248826,0.2700501253132832,0.24268456375838926,0.07803867403314917,0.29765193370165743,0.6243093922651933
2600,0.5352112676056338,0.2756892230576441,0.24697986577181208,0.0773405698778833,0.29850746268656714,0.6241519674355496
2700,0.5352112676056338,0.2700501253132832,0.24268456375838926,0.07867494824016563,0.2974465148378192,0.6238785369220152
2800,0.5117370892018779,0.2669172932330827,0.24268456375838926,0.07574704656011119,0.296038915913829,0.6282140375260598
2900,0.539906103286385,0.2756892230576441,0.2461744966442953,0.078125,0.29891304347826086,0.6229619565217391
3000,0.5539906103286385,0.27380952380952384,0.24322147651006712,0.08076659822039699,0.2991101984941821,0.6201232032854209
3100,0.5633802816901409,0.2744360902255639,0.2389261744966443,0.08287292817679558,0.30248618784530384,0.6146408839779005
3200,0.5539906103286385,0.2769423558897243,0.23838926174496644,0.08149171270718232,0.3052486187845304,0.6132596685082873
3300,0.5492957746478874,0.2744360902255639,0.23624161073825503,0.08153310104529617,0.30522648083623694,0.6132404181184669
3400,0.5586854460093896,0.275062656641604,0.24080536912751677,0.08178694158075601,0.3017182130584192,0.6164948453608248
3500,0.5539906103286385,0.27130325814536344,0.23838926174496644,0.08200138985406533,0.30090340514246006,0.6170952050034746
3600,0.5539906103286385,0.27380952380952384,0.2367785234899329,0.08211551844119694,0.30410577592205984,0.6137787056367432
3700,0.5539906103286385,0.2775689223057644,0.24,0.08109965635738832,0.30446735395189,0.6144329896907217
3800,0.568075117370892,0.2825814536340852,0.24053691275167785,0.082425068119891,0.3072207084468665,0.6103542234332425
