Element,1 at%,2 at%
B,-34.56924713945065,-39.02863439018882
B_std,4.821641207875598,4.771887769946534

energy_atom,-5.043726982532228,-5.062760347533389
std_energy,0.0,0.0
C,-25.50040525390932,-26.507212662234217
C_std,4.821641207875598,4.771887769946534

energy_atom,-5.04914939416174,-5.080643375404514
std_energy,0.0,0.0
H,-23.41425170672051,
H_std,4.821641207875598,

energy_atom,-4.993900405553845,-4.993900405553845
std_energy,0.0,0.0
N,-25.739868689513344,
N_std,4.821641207875598,

energy_atom,-5.032060166858648,-5.032060166858648
std_energy,0.0,0.0
