Interstitial Type,Ref. Compound,Content (at%),Excess Energy (meV/atom),Sigma Excess (meV/atom)
B,CrB,1,-23.67884637856348,4.8216412078754844
B,TiB2,1,31.489753708175062,4.8216412078754844
B,TiB2,1,-23.75923489971939,4.8216412078754844
B,TiB2,1,-18.336823270208733,4.8216412078754844
B,NiB,1,-17.317310648273395,4.8216412078754844
B,NiB,1,20.842450656529774,4.8216412078754844
B,NiB,1,-34.40653795136468,4.8216412078754844
B,NiB,1,-28.984126321854024,4.8216412078754844
B,MoB,1,-12.449670246182903,4.8216412078754844
B,MoB,1,25.710091058620264,4.8216412078754844
B,MoB,1,-29.538897549274193,4.8216412078754844
B,MoB,1,-24.116485919763534,4.8216412078754844
B,FeB,1,-14.065732665352101,4.8216412078754844
B,TiB2,1,-6.670007596628103,4.8216412078754844
B,FeB,1,24.094028639451068,4.8216412078754844
B,CrB,1,-29.101258008074144,4.8216412078754844
B,FeB,1,-31.15495996844339,4.8216412078754844
B,FeB,1,-25.73254833893273,4.8216412078754844
B,CrB,1,26.147730599820317,4.8216412078754844
B,CrB,1,-12.012030704982854,4.8216412078754844
B,CrB,2,-16.179221073097068,4.771887769946422
B,TiB2,2,-22.854021016501648,4.771887769946422
B,TiB2,2,-4.9709931453757585,4.771887769946422
B,CrB,2,-34.06224894422295,4.771887769946422
B,NiB,2,67.84064064724974,4.771887769946422
B,NiB,2,-45.19338514836457,4.771887769946422
B,FeB,2,74.66285508139255,4.771887769946422
B,NiB,2,-27.310357277238687,4.771887769946422
B,FeB,2,-20.4881428430959,4.771887769946422
B,MoB,2,78.05355474181607,4.771887769946422
B,TiB2,2,90.18000477911268,4.771887769946422
B,FeB,2,-38.37117071422179,4.771887769946422
B,MoB,2,-17.097443182672357,4.771887769946422
B,CrB,2,78.97177685139137,4.771887769946422
B,MoB,2,-34.98047105379824,4.771887769946422
