MC Step,Interstitial Concentration,Cr Concentration,Ni Concentration,GB Interstitial Concentration,GB Cr Concentration,GB Ni Concentration
100,0.42,0.2719298245614035,0.23731543624161075,0.01568334578043316,0.3241224794622853,0.6601941747572816
200,0.4,0.2669172932330827,0.23624161073825503,0.015082956259426848,0.3212669683257919,0.6636500754147813
300,0.38,0.27130325814536344,0.24053691275167785,0.014094955489614243,0.3212166172106825,0.6646884272997032
400,0.4,0.2731829573934837,0.2389261744966443,0.014858841010401188,0.32392273402674593,0.6612184249628529
500,0.38,0.2675438596491228,0.23919463087248322,0.014210919970082274,0.3193717277486911,0.6664173522812267
600,0.4,0.2719298245614035,0.24080536912751677,0.014803849000740192,0.32124352331606215,0.6639526276831976
700,0.42,0.27380952380952384,0.24053691275167785,0.0155096011816839,0.3227474150664697,0.6617429837518464
800,0.5,0.2669172932330827,0.24080536912751677,0.018545994065281898,0.31602373887240354,0.6654302670623146
900,0.56,0.2725563909774436,0.24161073825503357,0.020542920029347028,0.3191489361702128,0.6603081438004402
1000,0.5,0.2731829573934837,0.24134228187919463,0.01838235294117647,0.3205882352941177,0.6610294117647059
1100,0.56,0.2694235588972431,0.24080536912751677,0.020664206642066422,0.3173431734317343,0.6619926199261993
1200,0.54,0.2669172932330827,0.24161073825503357,0.019955654101995565,0.3148558758314856,0.6651884700665188
1300,0.54,0.2725563909774436,0.23946308724832216,0.019940915805022157,0.3212703101920236,0.6587887740029542
1400,0.54,0.275062656641604,0.24456375838926175,0.0196078431372549,0.3188090050835149,0.6615831517792302
1500,0.52,0.27882205513784464,0.24322147651006712,0.01888162672476398,0.32316630355846043,0.6579520697167756
1600,0.56,0.2756892230576441,0.23919463087248322,0.020603384841795438,0.3237674760853569,0.6556291390728477
1700,0.48,0.2781954887218045,0.24026845637583893,0.01760821716801174,0.32575201760821715,0.6566397652237711
1800,0.48,0.27380952380952384,0.24241610738255034,0.017595307917888565,0.32038123167155425,0.6620234604105572
1900,0.44,0.27130325814536344,0.2442953020134228,0.01611721611721612,0.3172161172161172,0.6666666666666666
2000,0.52,0.2744360902255639,0.24483221476510067,0.0188953488372093,0.3183139534883721,0.6627906976744186
2100,0.48,0.2744360902255639,0.24134228187919463,0.01763409257898604,0.3218221895664952,0.6605437178545187
2200,0.52,0.2744360902255639,0.24134228187919463,0.019075568598679385,0.32134996331621424,0.6595744680851063
2300,0.52,0.27380952380952384,0.23731543624161075,0.019302152932442463,0.3244246473645137,0.6562731997030438
2400,0.5,0.2694235588972431,0.24,0.018532246108228317,0.31875463306152707,0.6627131208302446
2500,0.54,0.2349624060150376,0.21369127516778524,0.022537562604340568,0.31302170283806346,0.664440734557596
2600,0.62,0.2706766917293233,0.23973154362416108,0.022861356932153392,0.3185840707964602,0.6585545722713865
2700,0.68,0.2725563909774436,0.24026845637583893,0.024926686217008796,0.3189149560117302,0.656158357771261
2800,0.64,0.2719298245614035,0.23785234899328858,0.023668639053254437,0.3210059171597633,0.6553254437869822
2900,0.62,0.2725563909774436,0.2370469798657718,0.022979985174203115,0.3224610822831727,0.6545589325426242
3000,0.72,0.275062656641604,0.23785234899328858,0.02645113886847906,0.32255694342395297,0.6509919177075679
3100,0.72,0.2731829573934837,0.2338255033557047,0.02680565897244974,0.3246463142218913,0.6485480268056589
3200,0.66,0.2719298245614035,0.23463087248322148,0.024608501118568233,0.32363907531692765,0.6517524235645041
3300,0.7,0.2700501253132832,0.2370469798657718,0.025945144551519646,0.3194959229058562,0.6545589325426242
3400,0.66,0.2462406015037594,0.21503355704697988,0.02689486552567237,0.3202933985330073,0.6528117359413202
3500,0.68,0.2725563909774436,0.23785234899328858,0.025092250922509225,0.3210332103321033,0.6538745387453875
3600,0.66,0.2700501253132832,0.23865771812080536,0.024390243902439025,0.31855136733185513,0.6570583887657059
3700,0.66,0.2675438596491228,0.23865771812080536,0.02446256486286138,0.31653076352853965,0.6590066716085989
3800,0.7,0.2706766917293233,0.23865771812080536,0.025811209439528023,0.3185840707964602,0.6556047197640118
3900,0.76,0.26879699248120303,0.2370469798657718,0.028148148148148148,0.31777777777777777,0.654074074074074
4000,0.7,0.26879699248120303,0.23838926174496644,0.025887573964497042,0.3173076923076923,0.6568047337278107
4100,0.68,0.2656641604010025,0.24134228187919463,0.025055268975681652,0.3124539425202653,0.6624907885040531
4200,0.64,0.2719298245614035,0.23946308724832216,0.023564064801178203,0.31958762886597936,0.6568483063328424
4300,0.64,0.2700501253132832,0.23838926174496644,0.023686158401184307,0.31902294596595115,0.6572908956328646
4400,0.64,0.26378446115288223,0.2410738255033557,0.023686158401184307,0.31162102146558107,0.6646928201332346
4500,0.62,0.26378446115288223,0.2389261744966443,0.023099850968703428,0.3137108792846498,0.6631892697466468
4600,0.64,0.27130325814536344,0.23785234899328858,0.023686158401184307,0.32050333086602517,0.6558105107327905
4700,0.64,0.2731829573934837,0.23731543624161075,0.023668639053254437,0.3224852071005917,0.6538461538461539
4800,0.6,0.2700501253132832,0.23919463087248322,0.022189349112426034,0.3187869822485207,0.6590236686390533
4900,0.7,0.26629072681704263,0.24,0.0258493353028065,0.31388478581979323,0.6602658788774003
5000,0.74,0.27130325814536344,0.23973154362416108,0.02714600146735143,0.3176815847395451,0.6551724137931034
5100,0.7,0.2719298245614035,0.24187919463087248,0.025547445255474453,0.3167883211678832,0.6576642335766424
5200,0.66,0.2719298245614035,0.24,0.024246877296105803,0.3188831741366642,0.65686994856723
5300,0.7,0.2756892230576441,0.23919463087248322,0.02562225475841874,0.32210834553440704,0.6522693997071742
5400,0.76,0.27882205513784464,0.24053691275167785,0.02755620014503263,0.32269760696156635,0.649746192893401
5500,0.72,0.27631578947368424,0.24375838926174498,0.025992779783393503,0.31841155234657037,0.6555956678700361
5600,0.68,0.2769423558897243,0.24322147651006712,0.024602026049204053,0.31982633863965265,0.6555716353111433
5700,0.72,0.2794486215538847,0.24241610738255034,0.025992779783393503,0.3220216606498195,0.651985559566787
5800,0.66,0.2807017543859649,0.24161073825503357,0.02389572773352643,0.32440260680666183,0.6517016654598118
