Distance,"Avg RDF ('Cr', 'Cr')","+sigma ('Cr', 'Cr')","-sigma ('Cr', 'Cr')","Avg RDF ('Cr', 'H')","+sigma ('Cr', 'H')","-sigma ('Cr', 'H')","Avg RDF ('Cr', 'Ni')","+sigma ('Cr', 'Ni')","-sigma ('Cr', 'Ni')","Avg RDF ('H', 'H')","+sigma ('H', 'H')","-sigma ('H', 'H')","Avg RDF ('H', 'Ni')","+sigma ('H', 'Ni')","-sigma ('H', 'Ni')","Avg RDF ('Ni', 'Ni')","+sigma ('Ni', 'Ni')","-sigma ('Ni', 'Ni')"
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,6.512435021539022,10.369429338117172,2.655440704960873,0.0,0.0,0.0,1.1938263000331135,2.387652600066227,0.0,11.143399834029552,19.851073525709666,2.4357261423494396,0.0,0.0,0.0
2.25,5.4817410336726295,9.003367177702273,1.9601148896429859,2.9187985799806087,5.179714944208962,0.657882215752255,7.3542021879063695,11.764453780166916,2.9439505956458234,14.003017560954925,16.42004873470324,11.58598638720661,0.5528988631324094,0.8725228325626724,0.23327489370214655,7.495088243513142,12.180701341063184,2.8094751459630993
2.75,3.0372047562460756,5.409349054832762,0.665060457659389,2.3262202313139397,3.9681332696608695,0.6843071929670101,4.581004959645165,8.096919708133921,1.065090211156409,11.81364765631183,12.620449457492914,11.006845855130745,1.8269093544462502,3.0413653020756013,0.6124534068168992,3.23577030504913,5.788160498593584,0.6833801115046767
3.25,1.4160348410383476,2.3063743741305567,0.5256953079461385,3.520557889738069,5.864322937397437,1.1767928420787017,1.0349083410085913,1.6695082046657774,0.4003084773514052,14.032185773510431,19.716987653875943,8.347383893144919,3.824427553472294,6.53773801154834,1.1111170953962475,1.2221277227107212,1.945440258497178,0.4988151869242644
3.75,1.8079770094531626,3.0090148906412386,0.6069391282650869,2.305144543730392,3.472116610953261,1.138172476507523,1.6322729605099144,2.844140366228532,0.42040555479129704,11.329007766505919,14.816907881906774,7.841107651105064,2.557534170049258,4.094145598947924,1.0209227411505921,1.7138921671320502,2.966757390106518,0.46102694415758205
4.25,4.451545132121125,6.767815279746776,2.135274984495474,3.4563508183015976,5.720192112515166,1.1925095240880297,3.9849677594551434,6.052624329874807,1.9173111890354795,14.456604381854952,20.77098330726286,8.142225456447044,2.8341858384125302,4.660156511244873,1.0082151655801874,4.1723505913277625,6.285104330337374,2.0595968523181516
4.75,2.5753338354475623,4.3834351829775295,0.7672324879175954,2.288193290944478,3.830859286623708,0.7455272952652479,2.6703113321575347,4.450061282740981,0.8905613815740887,8.803933288744837,11.088077189854959,6.519789387634715,1.6353442093030996,2.592455294389165,0.6782331242170341,2.5867425254261787,4.30803667801512,0.8654483728372373

Species,SRO,SRO+std,SRO-std
Cr-Cr,-1.7600571383584518,-0.020698202562372092,-3.4994160741545315
Cr-H,-1.837501639529901,-0.003270379022189074,-3.671732900037613
Cr-Ni,-1.8611576492407234,-0.055790573360263274,-3.6665247251211834
H-H,-10.193036558931553,-6.862540012018087,-13.523533105845019
H-Ni,-1.5884035574507442,0.12368342223341156,-3.3004905371349
Ni-Ni,-1.8029207803519696,-0.05629768234461796,-3.549543878359321
