Atom Type,r_0,r_f,Times Moved,dE
H,[ 9.22139152 32.43865611 24.85313515],[7.46456369 6.41829284 9.3481215 ],1,0.061707369597570505
Ni,[32.8612446  14.71638402 18.30195355],[ 2.88543611 36.07612732 31.81373001],1,-0.0728754013980506
Cr,[34.67106531 16.07223765 19.09200296],[36.43173894  3.42252554 32.58812722],1,-0.0728754013980506
Cr,[20.15525731  5.36586696 14.53392051],[ 1.24704309 12.70497532 36.44761127],2,-0.20298840869872947
Ni,[18.08105935  6.04705214 15.77620872],[31.67364789 14.62237649  1.72962256],2,-0.20298840869872947
Ni,[12.04387618 26.15813588  2.31810136],[ 0.32368337 24.19805488 21.20705412],3,-0.11562349579980946
Cr,[10.08994677 27.286093    1.29308811],[ 9.29819428 37.26259448 38.3775755 ],3,-0.11562349579980946
H,[25.97474507 14.171392   35.60396403],[31.4544238  37.67901704 11.20446845],2,-0.08971369900245918
H,[28.6277439   5.36427929 28.92571077],[ 5.81374549 14.63902754 28.55785604],3,-0.3059746967992396
Cr,[38.23459544  2.85060363  1.14131173],[21.57467153 20.15040223 27.40787333],4,-0.7989183577992662
Ni,[1.36067485 1.1899783  2.50288524],[20.31948539  7.79321055  4.86429598],4,-0.7989183577992662
Ni,[ 5.37943815 17.80915837 30.67429901],[23.83029005 23.23441311  9.63515642],5,-0.22971737219995703
Cr,[ 7.68561131 17.55978996 31.52389266],[ 5.38046146 22.84439944 19.06807126],5,-0.22971737219995703
Ni,[27.12744537 36.81491716 13.28649579],[28.20842784  4.26980153  4.11303574],6,0.013042005197348772
Cr,[29.0431561  35.54425606 14.30235144],[ 6.27697201 33.99950409 18.35973754],6,0.013042005197348772
H,[14.96024417 18.1520272   3.06443506],[31.57799077 22.93503624  7.32184292],4,-0.2362718711992784
Ni,[26.88014754 11.3928478   6.15198823],[ 0.59001657 10.13228155 38.69759894],7,-0.04708987169942702
Cr,[27.03391618 13.76653311  5.33148497],[25.63607696 31.36979164 -0.73010944],7,-0.04708987169942702
Ni,[ 6.33112713 33.88451577  9.27452739],[24.66616493 10.75960341 12.06976315],8,-0.11683531379821943
Cr,[ 6.32689586 34.55124947  6.79726356],[32.66077752  8.02098523 17.84791347],8,-0.11683531379821943
Ni,[29.4217047  25.2330905  18.65502871],[10.41578537 26.75602742 27.02942783],9,-0.3272046501006116
Cr,[28.62546938 27.69407603 18.44212916],[33.5692331  -1.43150807 37.92272348],9,-0.3272046501006116
H,[ 6.54860955 18.05968856  9.35838018],[27.23897608 20.59290805 26.81733228],5,-0.013151578499673633
Ni,[26.9653105  29.1058174  23.90882369],[11.19759032  6.43115071 25.93770524],10,-0.14528475460247137
Cr,[26.4506454  29.81958174 21.61689201],[33.40098689 37.37098407 17.67187458],10,-0.14528475460247137
H,[33.10132417 36.21054883 30.85271241],[13.40019239 28.01007368 23.09681684],6,-0.48039552179761813
H,[29.67416199  8.99149039 30.97228659],[29.67416199  8.99149039 30.97228659],7,0.0
Ni,[19.9360573   1.27289395 29.60475857],[11.46547907 21.36457418  3.97416476],11,-0.2787812078022398
Cr,[21.44338908  3.08588007 29.68855023],[10.29015325 10.9486634  33.51040418],11,-0.2787812078022398
Ni,[10.09305161 38.93557216 27.34434717],[18.05470329 26.89102241  6.49968567],12,-0.22095236359746195
