Atom Type,r_0,r_f,Times Moved,dE
Ni,[38.55177982  9.2347753  26.34217814],[18.3692456   8.29395897 14.91613777],1,-0.1957554705986695
Cr,[ 1.49753389 10.24415122 27.71879442],[27.310336   38.05930968 27.04970851],1,-0.1957554705986695
N,[40.42172788 15.09462563  5.98238433],[33.14160805 24.21770665  2.46648071],1,-237.7060288800021
Ni,[20.71743813 31.77835034 19.24704704],[ 3.67922007 27.00616783 26.68126225],2,-0.2161879462000797
Cr,[22.74435066 33.14865648 17.5787948 ],[38.75053882 15.63494097 34.41720571],2,-0.2161879462000797
Ni,[21.57589087 22.02144579 18.09806424],[32.16401657 21.3940444   2.23279835],3,-0.3433515369979432
Cr,[21.61840446 22.62576732 15.79495765],[16.90169253 32.19339603 28.89717139],3,-0.3433515369979432
N,[27.92479457 18.98678214 35.37376016],[37.49848369  4.10280321 31.01696997],2,-0.7415183066004829
N,[37.39226734 27.82759548 35.24195269],[12.69683355 28.0464478  24.81545458],3,-0.0534179988026153
N,[16.81160718 24.75881691 12.23604641],[ 8.53313338 39.74612979  3.86930903],4,-0.8077853813992988
N,[ 9.72609344  2.01314603 16.68988651],[ 3.63328454 16.45917949 15.04957358],5,-0.3422167811004328
N,[35.12382571 27.58808592 32.49892814],[14.42894742  1.94943215 27.0069915 ],6,-0.0844858768978156
Ni,[11.6787825  11.05105325 22.97633971],[30.75300657 20.00239743 34.88118613],4,-0.2019664257022668
Cr,[10.92253648 13.23778409 22.33338381],[24.91559571  5.23367871 28.34873222],4,-0.2019664257022668
Ni,[19.83797316 32.69716143 36.25443265],[36.60686068 29.13491603  1.04073696],5,-0.1783583360993361
Cr,[19.20083237 33.13866512 33.81339227],[17.18415571  4.34869397 34.77987728],5,-0.1783583360993361
N,[27.6541485  18.41882105 28.66820217],[27.6541485  18.41882105 28.66820217],7,0.0
Ni,[22.2007049   0.93083354 21.7177049 ],[22.35947926 31.65558565  6.59823227],6,0.0132835424010409
Cr,[22.03662811  3.31240853 21.09944709],[37.46670543 30.01651278 33.0020763 ],6,0.0132835424010409
N,[10.17455826 26.27377161 23.60124382],[17.60343062 38.92328036  5.74751705],8,-0.1380322687000443
Ni,[ 7.80936382 26.93700983 26.39350022],[20.60414418 10.14957443 13.1504356 ],7,0.0006383912004821
Cr,[ 6.97645414 24.57482081 27.78095755],[14.64848275 12.55899903 14.74424641],7,0.0006383912004821
N,[23.68014861 11.6785026  14.8718641 ],[ 7.37816665 10.34147346  5.11626001],9,-0.8012792353001714
Cr,[ 5.81825834 27.95164825 15.45631517],[17.52336649 37.57920267 32.38458168],8,0.0041689550998853
Ni,[ 3.8634601  29.26451626 14.43742179],[27.458584    2.14647826 23.40527523],8,0.0041689550998853
Ni,[19.11696146 16.00299421 10.48546205],[38.38816141 -0.04997783 30.57902195],9,-0.3049744388990802
Cr,[21.24944636 15.39541946  9.11158576],[36.29879617 22.00230708 34.72311699],9,-0.3049744388990802
Ni,[34.08602946  0.897267   13.69946876],[37.64841074 18.6557095  11.6789255 ],10,-0.0009401507013535
Cr,[34.40404436  3.390395   13.11999539],[27.91973808 30.56089178  0.11555991],10,-0.0009401507013535
N,[11.60825249  1.94783233 12.96224019],[ 3.6506954  16.4686637  15.05384444],10,-0.7436575341016578
N,[12.14012435 26.49203269 22.042804  ],[17.63170994 38.91038865  5.72471944],11,-0.0799505823997606
N,[36.89202955 37.94818672  2.92919041],[31.41139764 28.28678225  0.65725669],12,-1.0121066316969518
Cr,[32.45861744 19.72318709 27.03283656],[34.28258374 26.88619732 31.14216753],11,0.0667466905979381
